date,caveat_date,R_UK_Lower,R_UK_Upper,R_England_Lower,R_England_Upper,R_East of England_Lower,R_East of England_Upper,R_London_Lower,R_London_Upper,R_Midlands_Lower,R_Midlands_Upper,R_North East and Yorkshire_Lower,R_North East and Yorkshire_Upper,R_North West_Lower,R_North West_Upper,R_South East_Lower,R_South East_Upper,R_South West_Lower,R_South West_Upper,GR_UK_Lower,GR_UK_Upper,GR_England_Lower,GR_England_Upper,GR_East of England_Lower,GR_East of England_Upper,GR_London_Lower,GR_London_Upper,GR_Midlands_Lower,GR_Midlands_Upper,GR_North East and Yorkshire_Lower,GR_North East and Yorkshire_Upper,GR_North West_Lower,GR_North West_Upper,GR_South East_Lower,GR_South East_Upper,GR_South West_Lower,GR_South West_Upper,caveat_UK_Lower,caveat_UK_Upper,caveat_England_Lower,caveat_England_Upper,caveat_East of England_Lower,caveat_East of England_Upper,caveat_London_Lower,caveat_London_Upper,caveat_Midlands_Lower,caveat_Midlands_Upper,caveat_North East and Yorkshire_Lower,caveat_North East and Yorkshire_Upper,caveat_North West_Lower,caveat_North West_Upper,caveat_South East_Lower,caveat_South East_Upper,caveat_South West_Lower,caveat_South West_Upper
29-May-20,FALSE,0.7,0.9,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Jun-20,FALSE,0.7,0.9,0.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jun-20,FALSE,0.7,0.9,0.8,1.0,0.7,0.9,0.8,1.0,0.8,1.0,0.7,1.0,0.8,1.0,0.8,1.0,0.8,1.1,-2,-4,-1,-3,-5,-1,-4,1,-3,-1,-4,-1,-3,0,-4,0,-3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19-Jun-20,FALSE,0.7,0.9,0.7,0.9,0.7,0.9,0.7,1.0,0.8,1.0,0.7,0.9,0.7,1.0,0.7,0.9,0.6,0.9,-4,-2,-4,-1,-6,-1,-5,1,-4,0,-5,-2,-4,0,-5,-1,-6,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26-Jun-20,FALSE,0.7,0.9,0.7,0.9,0.7,0.9,0.6,0.9,0.7,0.9,0.7,0.9,0.7,1.0,0.7,0.9,0.6,0.9,-4,-2,-5,-2,-6,0,-6,0,-4,0,-4,0,-5,0,-6,-1,-7,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
03-Jul-20,FALSE,0.7,0.9,0.8,0.9,0.7,0.9,0.8,1.1,0.8,1.0,0.8,1.0,0.7,0.9,0.7,1.0,0.7,1.0,-6,0,-5,-2,-5,0,-4,2,-4,0,-5,0,-4,0,-5,0,-7,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10-Jul-20,FALSE,0.7,0.9,0.8,1.0,0.7,1.0,0.7,1.0,0.7,0.9,0.7,1.0,0.7,1.0,0.8,1.0,0.7,1.1,-5,-2,-4,-1,-4,1,-5,1,-6,-2,-5,-1,-5,-1,-4,0,-6,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
17-Jul-20,FALSE,0.7,0.9,0.8,1.0,0.8,1.0,0.8,1.1,0.7,1.0,0.7,0.9,0.7,1.0,0.8,1.0,0.7,1.1,-5,-1,-4,0,-5,1,-3,2,-5,-1,-5,-1,-6,-1,-4,0,-6,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
24-Jul-20,FALSE,0.7,0.9,0.8,1.0,0.8,1.0,0.8,1.0,0.7,1.0,0.8,1.0,0.7,1.0,0.8,1.0,0.7,1.0,-4,-1,-4,0,-3,2,-5,1,-5,0,-4,0,-5,-1,-3,1,-5,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
31-Jul-20,FALSE,0.8,0.9,0.8,1.0,0.7,1.0,0.8,1.0,0.7,0.9,0.7,0.9,0.8,1.1,0.8,1.0,0.8,1.1,-4,-1,-4,-1,-6,-1,-4,0,-6,-2,-6,-2,-5,1,-3,0,-4,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
