term,pattern,class,framework,lo,hi,source,note
remote chance,\bremote chance\b,PHIA,PHIA,0,0.05,phia,
highly unlikely,\bhighly unlikely\b,PHIA,PHIA,0.10,0.20,phia,
unlikely,\bunlikely\b,PHIA,PHIA,0.25,0.35,phia,longest match first: not preceded by highly/very/extremely/exceptionally
realistic possibility,\brealistic possibility\b,PHIA,PHIA,0.40,0.50,phia,upper bound <50%
likely,\blikely\b,PHIA,PHIA,0.55,0.75,phia,longest match first; comparative uses (more/less/equally likely) are not probabilities
probable,\bprobable\b,PHIA,PHIA,0.55,0.75,phia,
probably,\bprobably\b,PHIA,PHIA,0.55,0.75,spimo_annex,"SPI-M-O annex prints ""likely or probably""; PHIA page says ""likely or probable"""
highly likely,\bhighly likely\b,PHIA,PHIA,0.80,0.90,phia,3 SPI-M-O HTML versions (Jan 2022) print 85-90%; the graphic they reproduce shows 80-90%
almost certain,\balmost certain(ly)?\b,PHIA,PHIA,0.95,1,phia,upper bound <100%
virtually certain,\bvirtually certain(ly)?\b,other_controlled,IPCC AR5,0.99,1,ipcc,
extremely likely,\bextremely likely\b,other_controlled,IPCC AR5,0.95,1,ipcc,
very likely,\bvery likely\b,other_controlled,IPCC AR5,0.90,1,ipcc,
likely,\blikely\b,other_controlled,IPCC AR5,0.66,1,ipcc,same word as PHIA; counted as PHIA
more likely than not,\bmore likely than not\b,other_controlled,IPCC AR5,0.50,1,ipcc,lower bound >50%
about as likely as not,\babout as likely as not\b,other_controlled,IPCC AR5,0.33,0.66,ipcc,
unlikely,\bunlikely\b,other_controlled,IPCC AR5,0,0.33,ipcc,same word as PHIA; counted as PHIA
very unlikely,\bvery unlikely\b,other_controlled,IPCC AR5,0,0.10,ipcc,
extremely unlikely,\bextremely unlikely\b,other_controlled,IPCC AR5,0,0.05,ipcc,
exceptionally unlikely,\bexceptionally unlikely\b,other_controlled,IPCC AR5,0,0.01,ipcc,
almost no chance,\balmost no chance\b,other_controlled,ICD 203,0.01,0.05,icd203,paired with remote
remote,\bremote\b(?! chance),other_controlled,ICD 203,0.01,0.05,icd203,"""remote chance"" is PHIA; bare ""remote"" is mostly not a probability (remote learning); needs context"
very unlikely,\bvery unlikely\b,other_controlled,ICD 203,0.05,0.20,icd203,
highly improbable,\bhighly improbable\b,other_controlled,ICD 203,0.05,0.20,icd203,
unlikely,\bunlikely\b,other_controlled,ICD 203,0.20,0.45,icd203,same word as PHIA; counted as PHIA
improbable,\bimprobable\b,other_controlled,ICD 203,0.20,0.45,icd203,
roughly even chance,\broughly even (chance|odds)\b,other_controlled,ICD 203,0.45,0.55,icd203,
likely,\blikely\b,other_controlled,ICD 203,0.55,0.80,icd203,same word as PHIA; counted as PHIA
probable,\bprobabl[ey]\b,other_controlled,ICD 203,0.55,0.80,icd203,same word as PHIA; counted as PHIA
very likely,\bvery likely\b,other_controlled,ICD 203,0.80,0.95,icd203,
highly probable,\bhighly probable\b,other_controlled,ICD 203,0.80,0.95,icd203,
almost certain,\balmost certain(ly)?\b,other_controlled,ICD 203,0.95,0.99,icd203,same word as PHIA; counted as PHIA
nearly certain,\bnearly certain(ly)?\b,other_controlled,ICD 203,0.95,0.99,icd203,
almost certain,\balmost certain(ly)?\b,other_controlled,EFSA 2018,0.99,1,efsa,same word as PHIA; counted as PHIA
extremely likely,\bextremely likely\b,other_controlled,EFSA 2018,0.95,0.99,efsa,
very likely,\bvery likely\b,other_controlled,EFSA 2018,0.90,0.95,efsa,
likely,\blikely\b,other_controlled,EFSA 2018,0.66,0.90,efsa,same word as PHIA; counted as PHIA
about as likely as not,\babout as likely as not\b,other_controlled,EFSA 2018,0.33,0.66,efsa,
unlikely,\bunlikely\b,other_controlled,EFSA 2018,0.10,0.33,efsa,same word as PHIA; counted as PHIA
very unlikely,\bvery unlikely\b,other_controlled,EFSA 2018,0.05,0.10,efsa,
extremely unlikely,\bextremely unlikely\b,other_controlled,EFSA 2018,0.01,0.05,efsa,
almost impossible,\balmost impossible\b,other_controlled,EFSA 2018,0,0.01,efsa,
certain,\bcertain\b,other_controlled,Kent 1964,1,1,kent,"""a certain number"" is not a probability; needs context"
almost certain,\balmost certain(ly)?\b,other_controlled,Kent 1964,0.87,0.99,kent,93% give or take about 6%; same word as PHIA
probable,\bprobabl[ey]\b,other_controlled,Kent 1964,0.63,0.87,kent,75% give or take about 12%; same word as PHIA
